reviews_per_month,(All),,,,
room_type,(All),,,,
,,,,,
neighbourhood_group,neighbourhood,Count of name,Average of price,Sum of number_of_reviews,Max of last_review
Bronx,,1090,$87.50,28371,06-12-2019
,Allerton,42,$87.60,1803,06-12-2019
,Baychester,7,$75.43,310,06-11-2019
,Belmont,24,$77.13,296,06-12-2019
,Bronxdale,19,$57.11,458,07-07-2019
,Castle Hill,9,$63.00,118,06-10-2019
,City Island,18,$173.00,759,07-07-2019
,Claremont Village,28,$87.46,350,05-10-2019
,Clason Point,21,$112.76,316,06-07-2019
,Concourse,50,$86.18,1643,07-07-2019
,Concourse Village,32,$73.78,807,03-11-2019
,Co-op City,2,$77.50,34,01-01-2019
,East Morrisania,10,$85.00,480,07-07-2019
,Eastchester,13,$141.69,157,06-02-2019
,Edenwald,13,$82.00,200,07-07-2019
,Fieldston,12,$75.08,146,05-11-2019
,Fordham,62,$69.44,956,05-09-2019
,Highbridge,27,$71.11,1318,07-07-2019
,Hunts Point,18,$50.50,176,06-07-2019
,Kingsbridge,70,$77.93,1435,06-12-2019
,Longwood,62,$91.92,1653,06-12-2019
,Melrose,10,$83.30,90,07-06-2019
,Morris Heights,17,$76.94,465,06-08-2019
,Morris Park,15,$69.33,271,06-09-2019
,Morrisania,18,$83.44,186,07-04-2019
,Mott Haven,60,$88.92,2542,06-12-2019
,Mount Eden,6,$58.50,420,00-01-1900
,Mount Hope,20,$77.50,435,07-07-2019
,North Riverdale,10,$79.90,182,07-06-2019
,Norwood,31,$75.55,519,07-07-2019
,Olinville,4,$64.00,30,03-07-2019
,Parkchester,39,$69.08,911,07-07-2019
,Pelham Bay,17,$105.00,442,06-12-2019
,Pelham Gardens,28,$93.61,1140,07-07-2019
,Port Morris,46,$79.89,948,06-11-2019
,Riverdale,11,$442.09,293,06-12-2019
,Schuylerville,13,$69.23,423,05-10-2019
,Soundview,15,$53.47,441,06-11-2019
,Spuyten Duyvil,4,$154.75,70,07-03-2019
,Throgs Neck,24,$91.04,769,06-12-2019
,Tremont,11,$51.55,227,06-09-2019
,Unionport,7,$137.14,104,07-04-2019
,University Heights,21,$69.57,779,06-10-2019
,Van Nest,11,$113.82,206,05-08-2019
,Wakefield,50,$85.58,1279,06-10-2019
,West Farms,2,$122.00,7,10-08-2018
,Westchester Square,10,$122.20,155,06-03-2019
,Williamsbridge,40,$96.75,1138,06-12-2019
,Woodlawn,11,$60.09,484,06-09-2019
Brooklyn,,#NAME?,$124.38,486574,06-12-2019
,Bath Beach,17,$81.76,363,07-07-2019
,Bay Ridge,141,$144.43,2618,06-12-2019
,Bedford-Stuyvesant,3713,$107.68,110352,06-12-2019
,Bensonhurst,75,$75.79,1845,06-11-2019
,Bergen Beach,10,$106.70,205,06-11-2019
,Boerum Hill,177,$176.14,4295,06-12-2019
,Borough Park,136,$63.07,2232,06-12-2019
,Brighton Beach,75,$131.93,1347,06-11-2019
,Brooklyn Heights,154,$209.06,2555,06-11-2019
,Brownsville,60,$76.46,1912,06-11-2019
,Bushwick,2463,$84.80,52514,06-12-2019
,Canarsie,147,$104.37,5338,06-11-2019
,Carroll Gardens,233,$175.91,5897,05-11-2019
,Clinton Hill,572,$181.89,14586,06-12-2019
,Cobble Hill,99,$211.93,2888,05-08-2019
,Columbia St,42,$162.95,685,07-07-2019
,Coney Island,17,$123.71,373,06-11-2019
,Crown Heights,1564,$112.48,36408,06-12-2019
,Cypress Hills,135,$128.90,4482,06-12-2019
,Downtown Brooklyn,83,$150.35,1188,01-12-2019
,DUMBO,36,$196.31,1382,06-09-2019
,Dyker Heights,12,$93.42,415,05-12-2019
,East Flatbush,500,$104.22,12448,06-12-2019
,East New York,218,$85.43,6759,06-12-2019
,Flatbush,621,$92.21,12787,06-12-2019
,Flatlands,83,$126.43,1839,06-12-2019
,Fort Greene,489,$151.37,10608,05-12-2019
,Fort Hamilton,55,$93.82,745,06-11-2019
,Gowanus,247,$158.80,7709,06-12-2019
,Gravesend,68,$79.01,1336,05-11-2019
,Greenpoint,1115,$144.82,19429,06-12-2019
,Kensington,175,$92.89,2972,03-11-2019
,Manhattan Beach,8,$103.50,405,06-12-2019
,Midwood,109,$80.34,1655,05-10-2019
,Mill Basin,4,$179.75,69,07-07-2019
,Navy Yard,14,$151.64,251,04-07-2019
,Park Slope,506,$176.31,14638,06-12-2019
,Prospect Heights,357,$173.37,10875,05-12-2019
,Prospect-Lefferts Gardens,535,$110.40,14051,06-12-2019
,Red Hook,79,$143.46,2263,06-10-2019
,Sea Gate,7,$487.86,10,00-01-1900
,Sheepshead Bay,164,$105.77,3262,06-12-2019
,South Slope,284,$146.73,10405,05-12-2019
,Sunset Park,390,$113.04,7882,06-12-2019
,Vinegar Hill,34,$187.18,545,06-11-2019
,Williamsburg,3918,$143.80,85427,06-12-2019
,Windsor Terrace,157,$138.99,4324,06-10-2019
Manhattan,,#NAME?,$196.88,454569,06-12-2019
,Battery Park City,69,$367.56,580,06-11-2019
,Chelsea,1113,$249.74,23641,06-12-2019
,Chinatown,367,$161.50,9941,06-12-2019
,Civic Center,52,$191.94,637,06-07-2019
,East Harlem,1117,$133.20,36446,06-12-2019
,East Village,1852,$186.08,44670,06-12-2019
,Financial District,744,$225.49,6931,06-12-2019
,Flatiron District,80,$341.93,1419,06-10-2019
,Gramercy,338,$222.75,7682,05-12-2019
,Greenwich Village,391,$263.41,6526,06-12-2019
,Harlem,2657,$118.97,75962,06-12-2019
,Hell's Kitchen,1957,$204.79,50227,06-12-2019
,Inwood,252,$88.90,4690,06-12-2019
,Kips Bay,470,$202.41,5837,06-12-2019
,Little Italy,121,$222.07,2799,06-10-2019
,Lower East Side,911,$186.31,24161,06-12-2019
,Marble Hill,12,$89.17,168,10-06-2018
,Midtown,1545,$282.72,19444,06-12-2019
,Morningside Heights,346,$114.78,4599,06-11-2019
,Murray Hill,485,$220.96,4535,06-12-2019
,NoHo,78,$295.72,994,04-12-2019
,Nolita,252,$230.14,5634,06-12-2019
,Roosevelt Island,77,$113.26,1214,05-08-2019
,SoHo,358,$287.10,7235,06-12-2019
,Stuyvesant Town,37,$169.11,302,03-06-2019
,Theater District,288,$248.01,4342,06-12-2019
,Tribeca,177,$490.64,2034,06-11-2019
,Two Bridges,72,$127.07,2129,06-10-2019
,Upper East Side,1798,$188.95,31686,06-12-2019
,Upper West Side,1970,$210.92,36058,06-12-2019
,Washington Heights,898,$89.61,17161,06-12-2019
,West Village,768,$267.68,14885,06-12-2019
Queens,,5666,$99.52,156950,06-12-2019
,Arverne,77,$171.78,2253,04-12-2019
,Astoria,900,$117.19,19310,06-12-2019
,Bay Terrace,6,$142.00,249,05-04-2018
,Bayside,39,$157.95,928,06-10-2019
,Bayswater,17,$87.47,191,06-12-2019
,Belle Harbor,8,$171.50,74,00-01-1900
,Bellerose,14,$99.36,118,07-05-2019
,Breezy Point,3,$213.33,5,00-01-1900
,Briarwood,56,$105.88,1247,06-12-2019
